feat	codeword	expressed
NFX1	10100000000110	1
C18orf25	10000010000110	1
ZNF160	00000001100110	1
CCSER2	00001001000101	1
MAVS	10000000011001	1
FHOD1	01000100000101	1
RNF123	00110000010100	1
DHX38	00101000010010	1
FAM8A1	00000001001101	1
NCAPD3	00000110010001	1
ABCA2	01000100000110	1
CREBL2	11000000000101	1
DOCK10	01000001000110	1
KLF9	00010010010100	1
DTX4	10000001010010	1
MARCH4	00100100010010	1
SEC24B	11000000000011	1
BAG5	00010000110100	1
FOXM1	00100010010100	1
UBE4A	00100000011100	1
PCNX	00000110000011	1
ZNF516	01000100000011	1
DHX8	10000100000101	1
MEGF8	01010000000110	1
SBNO1	01000100010010	1
FNBP1L	00010010000101	1
LRP5	01000000001110	1
CES2	00010000001101	1
SEC16A	10100000010100	1
IKZF5	00010000100110	1
ATG16L1	00010000001110	1
PLCB3	00100100010100	1
SYNJ2	01000000011010	1
FAM13A	00000110010100	1
FAM178A	01000001010100	1
KIAA0247	00001010000101	1
MED15	10000000001011	1
AREL1	10010000000011	1
ZBTB21	10100000000011	1
SMURF1	00000100110010	1
TRPC6	10000000011010	1
ARHGAP18	00000011010100	1
blank003	00001000001011	0
KLF3	00010000011001	1
TOR4A	01001000000011	1
COG3	01000001010010	1
MCM8	00001001010010	1
FYCO1	00010001010010	1
SEMA5A	10000100000011	1
RP11-473I1.10	00001000011100	1
MTR	01001000010010	1
SMCR7L	00001000011001	1
ZFPM2	00100010000101	1
AMMECR1L	10001000010010	1
STAT5B	01000001000101	1
UST	00001000001101	1
PRDM2	00110000000101	1
GBF1	00000010110100	1
AKAP9	10001000010100	1
CSPP1	00011000000110	1
GUF1	00000001110001	1
ATP11A	00100000110010	1
POLD3	01000001010001	1
CD2AP	00010001000110	1
EPC2	00001000110010	1
BRD3	00001010010100	1
CDCA2	00000000101101	1
WDR44	00100100000101	1
ATF7IP	01000010010001	1
EVC	00000010001101	1
CDK5RAP2	10000000110001	1
NFAT5	00100100000011	1
KDM4A	01100000010100	1
TTLL4	00110000010010	1
AVL9	00010001000011	1
UBN1	00010100010001	1
BRWD1	00010000100011	1
TRIM37	00010010010010	1
ACSL1	10000000001110	1
MRAS	00001100010100	1
REV3L	00001000110100	1
LRRC8C	00000010111000	1
LLGL1	00010110000001	1
KLF13	01100010000100	1
KIAA0754	10000001001010	1
DDX60	10000000101100	1
DMD	00000101001100	1
LSM3	10100100000100	1
PCNXL3	00101000100010	1
ETV5	01001000100100	1
MLLT6	00110100000010	1
ARFGEF1	10001000110000	1
CASC5	00000011001010	1
AKAP11	01100100000010	1
CSRNP2	00110010010000	1
TWISTNB	00100000101100	1
NOL6	00010101010000	1
C17orf70	00100110010000	1
ENTPD7	01010000110000	1
