Gene	Codeword
THBS1	0000111000000010
FLNA	0000101000010001
TNC	1000101000001000
FBN2	0010101100000000
KIAA1199	0000110100010000
COL5A1	0000010011000010
MALAT1	0000011010001000
TLN1	0000100000100110
FBN1	0010010100000010
SRRM2	0010001000000011
TEAD1	0010011000010000
IQGAP1	0000001100010010
MYH10	0010100000010010
PAPPA	0001010000100010
NR4A1	0001101000100000
LRP1	0000011000100100
SLC38A1	1000100001000010
SMARCA5	0000011100000001
CKAP5	0100001000100010
PIEZO1	1000110010000000
VCAN	0000101011000000
PRRC2B	0101011000000000
SON	1000010000001010
SLC7A11	1000001010000010
GPR107	0100010000000110
KIAA1462	0101100000000010
notarget001	0000100010001010
blank001	0100110000100000
ROCK2	0100101000000100
SPTBN1	0001110000000100
FLNC	0001001000000110
PRPF8	0000010000010011
IGF2R	0000110001001000
FOSB	1000011001000000
UBR5	0000100100000011
SVEP1	0000001001001010
CBX5	0010110000000001
PDS5A	1100100000000001
NUMA1	0000001001100001
PLXNA1	0001000000011010
ALPK2	0100010001010000
AFAP1	0000001010110000
SPTAN1	0011100000001000
DOCK7	0110000000001010
NOTCH2	0000000010000111
DYNC1H1	1000100000010100
ITGA2	1010000000000110
PRKDC	0001100001000001
GTF3C1	0010010000001100
THSD4	0000010001000101
PTPN14	0100100101000000
LUZP1	0000100010100001
AMOTL1	1000001100100000
MAN1A2	1010100000100000
notarget002	1001100100000000
blank002	1100000100000010
USP9X	0000100001110000
CREBBP	0100001000001001
KPNA4	0110001001000000
EGFR	0001001001010000
ZC3H13	0001001100001000
TNRC6A	0001010110000000
TPR	0000010010010100
COL7A1	0001010000001001
ASCC3	0100001110000000
USP34	0000000000101011
CENPF	0010001010000100
KIDINS220	0000010000111000
SCUBE3	1000010100000100
NRIP1	0000000001010110
NUP98	1001000000000011
ZFC3H1	0000000110100010
FAM208B	0100000001000011
RAB3B	0001000101000010
AFF4	1000000000110010
PRKCA	0010001000101000
FLNB	1000001000000101
CHD8	1000010000100001
ANKRD52	0100100000011000
MKI67	0000001000011100
DIP2C	0110100010000000
SSH1	0000100000001101
notarget003	0010010010100000
blank003	1110010000000000
DNAJC13	0000100110000100
DSEL	0100000010010010
PIK3CA	0000010101100000
MED14	1001010000010000
HERC2	0100010010000001
H6PD	0011000010000010
C14orf132	0000000100001110
SIPA1L3	0000001101000100
C17orf51	0011010001000000
NF1	0001001010000001
VPS13A	1100001000010000
ABCA2	1011001000000000
PCNX	0100010100001000
NKTR	0010100001000100
FYCO1	0001100010010000
ATP11A	0010000001100010
REV3L	0000100100101000
CASC5	0100000100110000
AKAP11	0101000000100100
CEP250	0010000001001001
USP24	0000000010101100
AGPS	1000000000011001
CBL	1010000001010000
RNF169	0001000000110001
TMOD2	0001000001001100
FASN	0000000011010001
notarget004	1001000010000100
blank004	0010000010011000
UBR2	0110000000100001
PHIP	1000000101000001
GTF3C4	0000000101011000
QSER1	1001000000101000
VPS13D	0010000111000000
FRY	0001000011100000
DIP2B	0101000010001000
HIVEP2	1101000001000000
DOPEY1	1000000011001000
ALMS1	0110000100000100
HEATR5B	0011000100100000
HIVEP1	0010000100010001
ARL10	0101000100000001
HELZ2	0000000110001001
POLQ	1010000010000001
CACNA1A	1100000000001100
KIAA2018	0100000000010101
LYST	1000000110010000
ZKSCAN2	0011000000000101
DIEXF	0001000100010100
FZD4	1010000100001000
SLC5A3	0111000000010000
KIAA1147	1100000010100000
LMTK2	0100000001101000
STARD9	0010000000110100
BRCA2	0000000100100101
notarget005	1000000001100100
blank005	0100000011000100
